ACCEPT: 接受
DECLINE: 拒绝
APPLY: 应用
YES: 是
NO: 否
OK: 确认
CANCEL: 取消
NAME: 名字
DESCRIPTION: 描述
SAVE: 保存
LOAD: 读取
OVERWRITE: 覆盖
IMPORT: 导入
EXPORT: 导出
CREATE: 创建
ADD: 增加
DELETE: 删除
SET: 设置
RESET: 重设
NONE: 无
BACK: 向后
DESIGN: 蓝图
PLANET: 行星
SYSTEM: 恒星系
SYSTEMS: 系统
SHIP: 舰船
DEBRIS: 残骸区
ANOMALY: 异常
RESEARCH: 科研
TECHNOLOGY: 技术成就
REMOVE: 移除
UNDO: 撤销
REDO: 复原
ERROR: 错误
WARNING: 警告
CHOOSE: 选择
GENERATE: 生成
TIME_S: $1秒
TIME_M: $1分
TIME_MS: $1分 $2秒
TIME_HM: $1小时 $2分
TIME_MS_SHORT: $1:$2
TIME_PERS: $1/秒
ETA: 预计时间
ELLIPSIS: ... 
SHORT_ELLIPSIS: 。 
NEVER: 从不
HP: 血量
COST: 成本
ALL: 所有
BUILD: 建造
QUEUE: 序列
UPGRADE: 升级
UPGRADES: 升级
CONSOLE: 控制台
AMOUNT: 数量
DETAILS: 细节
SEND: 发送
LEAVE: 离开
WITHDRAW: 撤回
VIEW: 检视
OLDER: 较旧的
NEWER: 较新的
PASSED: 通过的
FAILED: 失败的
PROPOSE: 建议
USE: 使用
HEALTH: 生命值
ENERGY: 能量
FLEET_STRENGTH: 舰队实力
SCUTTLE: 自毁
AVAILABLE: 可用
MANAGE: 管理
SUPPORTS: 支援
CONSTRUCTION: 建造
ASTEROID: 小行星
RENAME: 更名
PERCENTAGE: 百分比
REFRESH: 刷新
CUSTOMIZE: 自定义
PASSWORD: 密码
CHAT: 聊天
DISCONNECT: 与服务器断开连接
WORMHOLE: 虫洞
NEXT: 下一个
PREVIOUS: 上一个
CLOSE: 关闭
SIZE: 规模
VS: 对阵
START: 开始
ACTIVATE: 激活
ENABLED: 已启用
DISABLED: 已禁用
NEW: 新建
ZOOM: 放大
ZOOM_TO: 放大到 $1
DURATION: 持续时间
EASY: 简单
NORMAL: 普通
HARD: 困难
DISCARD: 放弃
